GM,TSLA,YNDX
30.216442,207.339996,16.25
30.264549,204.110001,16.35
30.352736,203.759995,16.370001
30.11223,207.190002,16.540001
29.911793,203.339996,16.450001
30.152313,197.330002,16.02
30.304636,199.559998,15.95
30.120245,202.440002,15.76
30.152313,200.630005,15.48
29.534998,193.880005,15.13
30.440279,190.880005,14.68
30.351366,190.320007,14.12
30.537273,193.740005,14.5
31.062662,191.070007,14.53
30.755508,188.679993,14.68
31.183908,195.699997,14.21
30.949509,194.729996,14.49
31.119244,200.710007,14.49
31.240492,195.649994,14.46
31.418318,198.080002,14.63
31.191996,199.630005,14.74
30.593853,201.720001,15.27
30.213959,194.300003,15.27
30.189707,190.410004,15.19
30.157375,185,15.45
30.456448,190.570007,15.3
30.310949,188.770004,15.17
29.69665,187.589996,15.77
29.502666,191,16.24
29.631985,203.100006,17.18
28.880278,203.25,17.02
29.187422,207.669998,17.48
29.332914,210.089996,17.99
29.559244,210.899994,17.84
29.421833,209.779999,17.84
29.486496,207.460007,17.91
29.858297,207.830002,20.4
29.97147,206.699997,20.9
29.615818,206.789993,20.59
29.995726,205.270004,20.540001
30.036135,209.410004,20.440001
30.036135,219.440002,20.700001
29.033848,218.600006,20.75
28.767115,218.429993,20.67
28.920691,231.550003,20.27
28.872192,230.479996,19.200001
28.702452,232.449997,19.68
28.338722,226.050003,19.24
28.629698,226.029999,19.57
28.613535,230.509995,19.190001
28.298307,232.949997,19.42
28.104317,230.429993,19.6
28.193228,236.800003,19.15
28.548872,236.610001,19.639999
28.46805,239.490005,19.309999
28.080065,244.740005,19.200001
28.128567,243.179993,19.43
28.007318,244.100006,19.49
28.217472,248.839996,19.01
28.330633,248.75,19.35
28.38722,247.139999,18.75
28.306387,244.350006,18.59
28.759029,245.619995,18.610001
28.856022,247.729996,18.5
28.710533,247.460007,18.17
28.944946,247.429993,17.93
29.413746,251.449997,18.33
29.074263,250.800003,18.030001
29.244005,249.449997,18.07
29.276335,248.350006,18.93
29.050013,248.990005,18.17
28.726698,245.919998,17.57
28.38722,249.139999,17.559999
28.575052,256.290009,17.24
28.795547,256,17.360001
29.065048,250.699997,17.4
29.032383,251.410004,17.440001
29.163044,250.690002,17.629999
28.958878,250.380005,17.25
29.081388,253.119995,17.190001
29.24472,260.410004,17.139999
29.563211,261.890015,16.93
29.48971,262.51001,16.77
29.555042,259.790009,16.26
29.644878,267.670013,15.93
28.713881,265.170013,15.95
28.338217,268.790009,15.9
28.076887,267.089996,15.81
27.137718,262.019989,14.84
27.219389,268.26001,15.22
26.982557,269.149994,15.03
27.137718,280.019989,15.38
26.664057,279.720001,14.91
26.835558,267.880005,14.93
25.471729,254.960007,14.47
25.324728,257.920013,14.81
25.643227,259.149994,14.85
25.871895,262.160004,15.33
25.945396,265.649994,15.47
25.667727,263.140015,15.19
24.998064,266.679993,15.45
25.030731,274.660004,15.78
24.908232,282.26001,15.48
24.818398,266.769989,15.49
24.744896,267.869995,15.15
25.724895,267.200012,15.26
25.365564,265.410004,14.84
25.357391,253.009995,14.53
25.577892,264.820007,14.89
26.09239,263.820007,15.41
26.059729,266.790009,14.38
25.733065,266.149994,13.91
25.871895,259.98999,13.65
25.741232,266.279999,13.76
25.806561,270.130005,13.75
26.018892,246.130005,13.31
25.920891,242.509995,13.33
26.084229,241.139999,13.65
25.177731,237.369995,13.21
25.210394,238.169998,13.06
25.365564,242.509995,12.77
25.716726,243.149994,12.82
25.814726,254.990005,12.49
25.896391,260.720001,12.46
25.83106,255.25,11.91
